name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Golda Meir,{{birth date|1898|5|3|df=yes}},"[[Kiev]]<!--Do NOT change spelling, see [[WP:MPN]].-->, Russian Empire",{{death date and age|1978|12|8|1898|5|3|df=yes}},[[West Jerusalem]],,,,,,[[Milwaukee State Normal School]],,,,"{{marriage|Morris Meyerson|December 24, 1917|May 25, 1951|end=d}}",2,
Benazir Bhutto,{{birth date|df=y|1953|6|21}},"[[Karachi]], [[Dominion of Pakistan|Pakistan]]",{{nowrap|{{death date and age|df=y|2007|12|27|1953|6|21}}}},"[[Rawalpindi]], [[Punjab, Pakistan|Punjab]], Pakistan",,,,,,,"{{ubl |[[Harvard University]] ([[Bachelor of Arts|BA]]) |[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]]) |[[St Catherine's College, Oxford]] ([[Master of Studies|MSt]])}}",,,{{marriage|[[Asif Ali Zardari]]|1987}},"3, including [[Bilawal Bhutto Zardari|Bilawal]] and [[Aseefa Bhutto Zardari|Aseefa]]",[[Zulfikar Ali Bhutto]]<br>[[Nusrat Bhutto]]
Dame Jacinda Ardern,,,,,,,,,,,,,,,,
Sanna Marin,,,,,,,,,,,,,,,,
The Baroness May of Maidenhead,{{birth date and age|1956|10|1|df=yes}},"[[Eastbourne]], Sussex, England",,,,,,,,"[[St Hugh's College, Oxford]]",[[Wheatley Park School]],,,{{marriage|[[Philip May]]|6 September 1980}},,
Angela Merkel,,,,,,,,,,,,,,,,
Hillary Clinton,{{birth date and age|1947|10|26}},"[[Chicago]], [[Illinois]], U.S.",,,,,,,[[List of honors and awards received by Hillary Clinton|Full list]],,[[Wellesley College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Juris Doctor|JD]]),,,"{{marriage|[[Bill Clinton]]|October 11, 1975}}",[[Chelsea Clinton]],{{ubl |[[Hugh Rodham (born 1911)|Hugh Rodham]] |[[Dorothy Howell Rodham|Dorothy Howell]]}}
Elizabeth Warren,{{birth date and age|1949|6|22}},"[[Oklahoma City]], Oklahoma, U.S.",,,,,,,,,[[George Washington University]]<br>[[University of Houston]] ([[Bachelor of Science|BS]])<br>[[Rutgers University]] ([[Juris Doctor|JD]]),,,"{{ubl |{{marriage|Jim Warren|1968|1978|end=div}} |{{marriage|[[Bruce H. Mann]]|July 12, 1980}}}}","2, including [[Amelia Warren Tyagi|Amelia]]",
Kamala Harris,{{birth date and age|1964|10|20}},"[[Oakland, California]], U.S.",,,,{{hlist|Politician|lawyer}},,,,,"{{unbulleted list|[[Howard University]] ([[Bachelor of Arts|BA]])|[[University of California College of the Law, San Francisco|University of California, Hastings]] ([[Juris Doctor|JD]])}}",,,"{{marriage|[[Doug Emhoff]]|August 22, 2014}}",,{{unbulleted list|[[Donald J. Harris]] (father)|[[Shyamala Gopalan]] (mother)}}
Michelle Obama,{{birth date and age|1964|1|17}},"Chicago, Illinois, U.S.",,,,,,,,,,,,"{{marriage|[[Barack Obama]]|October 3, 1992}}",{{flatlist| * [[Malia Obama|Malia]] * [[Sasha Obama|Sasha]] }},
