1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,2blankname2,2namedata2,allegiance,alma_mater,alongside1,alongside2,alt,ambassador_from2,appointer,awards,birth_date,birth_name,birth_place,birthname,branch,branch_label,caption,child,children,church,citizenship,coatofarms,coatofarms_article,coatofarms_link,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,country2,criminal_charge,death_cause,death_date,death_place,deputy,deputy1,deputy2,deputy3,deputy4,deputy6,description,district,district1,doctoral_advisor,education,embed,enthroned,era,father,field,filename,first,footnotes,formation,governor3,governor4,governor_general,hangul,hanja,height_m,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,image,image_size,incumbent,incumbentsince,institutions,ipa,jr/sr1,jr/sr2,known_for,last,leader1,leader3,leader4,leader5,leader8,main_interests,majority,majority6,module,module2,monarch,monarch1,monarch2,monuments,mother,movement,name,nationality,native_name,native_name_lang,nickname,notable_works,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,order,order1,order2,order3,order4,order6,order9,organisation,organization,other_names,otherparty,parents,parliament6,parliament9,partner,party,pos,post,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,profession,rank_label,region,relatives,residence,resting_place,resting_place_coordinates,restingplace,school_tradition,see,servicenumber,serviceyears,serviceyears_label,signature,signature_alt,signature_size,spouse,state,state1,state2,state_house1,status,status9,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,title7,titlestyle,trial,type,vicepresident,vicepresident1,vicepresident3,website,years_active
,,,,,,,,,,,,,,,[[Milwaukee State Normal School]],,,,,,,{{birth date|1898|5|3|df=yes}},Golda Mabovitch,"[[Kiev]]<!--Do NOT change spelling, see [[WP:MPN]].-->, Russian Empire",,,,Meir in 1964,,2,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1978|12|8|1898|5|3|df=yes}},[[West Jerusalem]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golda Meir (1964) cropped.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Golda Meir,,{{nobold|גולדה מאיר}},he,,,,[[Prime Minister of Israel]],[[Israeli Labor Party#Party leaders|Leader of Labor Party]],,,,,[[Ministry of Interior (Israel)|Minister of Interior]],[[Minister of Foreign Affairs of Israel|Minister of Foreign Affairs]],[[Labor Minister of Israel|Minister of Labor]],,Member of the [[Knesset]],[[List of ambassadors of Israel to Russia|Minister Plenipotentiary to the Soviet Union]],,,,,,,,,,,,,[[Alignment (Israel)|Alignment]] (1969–1978),,,,,[[Poale Zion]] (1915–1919)<br>[[Ahdut HaAvoda]] (1919–1930)<br>[[Mapai]] (1930–1968)<br>[[Israeli Labor Party|Labor Party]] (1968–1978),,,[[Yigal Allon]] (interim),[[Levi Eshkol]],,,,,,[[Haim-Moshe Shapira]],[[Moshe Sharett]],[[Mordechai Bentov]],,,''Office established'',,,[[Zalman Shazar]]<br />[[Ephraim Katzir]],,,,,,,,,,''Herself'',[[David Ben-Gurion]]<br/>Levi Eshkol,David Ben-Gurion<br/>Moshe Sharett,,,,,,,,,,,,,,,,,,,Golda Meir Signature.svg,,,"{{marriage|Morris Meyerson|December 24, 1917|May 25, 1951|end=d}}",,,,,,,,,,,,,,,,,,,,,,,[[Yitzhak Rabin]],Yitzhak Rabin,,,,,,[[Yosef Burg]],[[Abba Eban]],[[Mordechai Namir]],,,Mordechai Namir }},,,,,,,,,,,,,,3 June 1974,3 June 1974,,,1 September 1970,12 January 1966,19 June 1956,,3 June 1974,25 January 1949,,,,,,,,17 March 1969,17 March 1969,,,16 July 1970,19 June 1956,10 March 1949,,12 February 1949,10 September 1948,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1953|6|21}},Benazir Bhutto,"[[Karachi]], [[Dominion of Pakistan|Pakistan]]",,,,"Formal portrait, {{circa|1986}}",,"3, including [[Bilawal Bhutto Zardari|Bilawal]] and [[Aseefa Bhutto Zardari|Aseefa]]",,,,,,,,,,,,,,,,,,,,,,,,[[Assassination of Benazir Bhutto|Assassination]],{{nowrap|{{death date and age|df=y|2007|12|27|1953|6|21}}}},"[[Rawalpindi]], [[Punjab, Pakistan|Punjab]], Pakistan",,,,,,,,,,,"{{ubl |[[Harvard University]] ([[Bachelor of Arts|BA]]) |[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]]) |[[St Catherine's College, Oxford]] ([[Master of Studies|MSt]])}}",,,,,,,,,,,,,,,,,,[[Mohtarma]],,,"Benazir Bhutto, 1986.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,Benazir Bhutto,,{{small|{{nobold|{{nq|بينظير  بُھٹو}}}}}},sd-Aran,,,,11th [[Prime Minister of Pakistan]],,,,,,[[Leader of the Opposition (Pakistan)|Leader of the Opposition]],,Leader of the [[Pakistan Peoples Party]],,,,,,,,,,,,,,,,,[[Zulfikar Ali Bhutto]]<br>[[Nusrat Bhutto]],,,,[[Pakistan People's Party]],,,[[Moeenuddin Ahmad Qureshi]] (acting),[[Muhammad Khan Junejo]],,,,,,[[Nawaz Sharif]],[[Khan Abdul Wali Khan]],[[Nusrat Bhutto]],,,,,,[[Wasim Sajjad]] (acting)<br>[[Farooq Leghari]],[[Ghulam Ishaq Khan]],,,,,,,,,,,,,,,,,,,,{{hlist |[[Bhutto family]] |[[Zardari family]]}},,,,[[Bhutto family mausoleum]],,,,,,Benazir Bhutto Signature.svg }},,,{{marriage|[[Asif Ali Zardari]]|1987}},,,,,,,,,,,,,,,,,,,,,,,[[Malik Meraj Khalid]] (acting),[[Ghulam Mustafa Jatoi]] (acting),,,,,,[[Fazl-ur-Rehman (politician)|Fazl-ur-Rehman]],[[Nawaz Sharif]],[[Asif Ali Zardari]]<br>[[Bilawal Bhutto Zardari]],,,,,,,,,,,,,,,,,5 November 1996,6 August 1990,,,12 October 1999,18 April 1993,27 December 2007,,,,,,,,,,,18 October 1993,2 December 1988,,,17 February 1997,6 November 1990,12 November 1982,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ardern in 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[The Right Honourable]],{{post-nominals|country=NZL|GNZMf|size=100%}},,,,New Zealand Prime Minister Jacinda Ardern in 2018.jpg <!--Please discuss changes on the talk page-->,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Elizabeth II]] * [[Charles III]] }},,,,,,Dame Jacinda Ardern,,,,,,,40th [[Prime Minister of New Zealand]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tytti Tuppurainen and Sanna Marin,,,,,,,,,,Marin in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Katri Kulmuni]] * [[Matti Vanhanen]] * [[Annika Saarikko]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurooppa-neuvosto 23.–24.3.2023 (52766857233) (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Sanna Marin,,,,,,,Prime Minister of Finland,,,,,,,,,,,,,,46th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Sauli Niinistö]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{nowrap|[[First Secretary of State|First Secretary]]}},,,,,,[[Damian Green]] (2017),,,,,,,,,"[[St Hugh's College, Oxford]]",,,Official portrait of Theresa May in 2024,,,,{{birth date and age|1956|10|1|df=yes}},Theresa Mary Brasier,"[[Eastbourne]], Sussex, England",,,,"Official portrait, 2024",,,,,,,,,,,,,,,,,,,,,Maidenhead,,,,,,,,,,,,,,,,,,[[Wheatley Park School]],yes,,,,,,,n.b.&nbsp;{{note|Acting||Acting: 7 June <!-- 2019 --> – 23 July 2019<!--Do not remove per source: https://www.bbc.com/news/uk-politics-48550452. Also put in small font per MOS:SMALLFONT-->}},,,,,,,,,,[[The Right Honourable]],{{post-nominals|country=GBR|size=100%|PC}},,Official portrait of Baroness May of Maidenhead crop 2.jpg,,,,,,,,,,,,[[Iain Duncan Smith]],,,,,,{{Listen voice|filename=Theresa May's statement following general election 2017.ogg|description=May's speech after the [[2017 United Kingdom general election|2017 general election]]|recorded=9 June 2017}} }},,[[Elizabeth II]],,,,,,The Baroness May of Maidenhead,,,,,,,[[Prime Minister of the United Kingdom]],[[Leader of the Conservative Party (UK)|Leader of the Conservative Party]],,,,,[[Home Secretary]],[[Minister for Women and Equalities]],[[Chairman of the Conservative Party]],{{ubl|[[Member of the House of Lords]]|[[Lord Temporal]]}},,,,,,,,,,,,,,,,,United Kingdom,,,[[Conservative Party (UK)|Conservative]],,,[[David Cameron]],David Cameron,,,,,,[[Alan Johnson]],[[Harriet Harman]],[[David Davis (British politician)|David Davis]],,''Constituency established'',,,,,,,,,,,,,,David Cameron,David Cameron,,,,,,,,,,[[Alistair Strathern]] (first cousin once removed),,,,,,,,,,Signature of Theresa May.svg,,,{{marriage|[[Philip May]]|6 September 1980}},,,,,,,[[Shadow Secretary of State for the Family|Family]],"[[Shadow Secretary of State for Culture, Media and Sport|Culture, Media and Sport]]",[[Shadow Leader of the House of Commons|Leader of the House of Commons]],[[Shadow Minister for Women and Equality|Women and Equality]],[[Shadow Secretary of State for Work and Pensions|Work and Pensions]],{{hlist|[[Shadow Secretary of State for Education|Education and Employment]]|[[Shadow Minister for Women|Women]]}},"[[Shadow Secretary of State for Transport, Local Government and the Regions|Transport, Local Government and the Regions]]","[[Shadow Secretary of State for Environment, Food and Rural Affairs|Environment, Food and Rural Affairs]]",2004–2005,2005,2005–2009,2007–2010,2009–2010,1999–2001,2001–2002,2003–2004,[[Boris Johnson]] {{Collapsed infobox section begin|last = yes|Ministerial offices,Boris Johnson,,,,,,[[Amber Rudd]],[[Maria Miller]] {{Collapsed infobox section end}}}} {{Collapsed infobox section begin|last = yes|Party political offices,{{ubl|[[Liam Fox]]|[[The Lord Saatchi]]}} {{Collapsed infobox section end}}}},,[[Joshua Reynolds (politician)|Joshua Reynolds]],,,,,,,,,,,,,,,24 July 2019,23 July 2019{{ref label|Acting|nb}},,,13 July 2016,4 September 2012,6 November 2003,,30 May 2024,,,,,,,,,13 July 2016,11 July 2016,,,12 May 2010,12 May 2010,23 July 2002,21 August 2024 {{hanging indent|[[Life peer]]age}},1 May 1997,,,,,,,,[[Official Opposition Shadow Cabinet (United Kingdom)|Shadow Cabinet]] portfolios,border:1px dashed lightgrey;}}{{Infobox officeholder,,,,,,{{Official website}},
{{nowrap|[[Vice-Chancellor of Germany#Federal Republic of Germany (1949–present)|Vice Chancellor]]}},,,,,,{{#invoke:collapsible list|main|title={{nobold|''See list''}},,,,,,,,,,,,,,,,,,,,,,Merkel in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- Please do not add German-language titles here -->,,,,"Angela Merkel 2019 cropped.jpg <!-- Discussion in progress, please do not modify before consensus -->",,,,,,,,,,,,,,,,,,,,,,,,,,Angela Merkel,,,,,,,[[Chancellor of Germany]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist}} * [[Horst Köhler]] * [[Jens Böhrnsen]] (acting) * [[Christian Wulff]] * [[Horst Seehofer]] (acting) * [[Joachim Gauck]] * [[Frank-Walter Steinmeier]] {{endplainlist}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Clinton speaking at an event in Des Moines, Iowa, during her 2016 presidential campaign",,,[[List of honors and awards received by Hillary Clinton|Full list]],{{birth date and age|1947|10|26}},Hillary Diane Rodham,"[[Chicago]], [[Illinois]], U.S.",,,,Clinton in 2016,,[[Chelsea Clinton]],,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl |[[John Negroponte]] |[[James Steinberg]] |[[William J. Burns (diplomat)|Bill Burns]]}},,,,,,,,,,[[Wellesley College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Juris Doctor|JD]]),,,,,,,,,,Bill Clinton,Bill Clinton,,,,,,,,,,<!--PLEASE DO NOT CHANGE WITHOUT CONSENSUS-->Hillary Clinton by Gage Skidmore 4 (cropped).jpg,,,,,,United States Senator,,,,,,,,,,,,"{{Listen |pos=center |embed=yes |filename=Hillary Clinton voice.ogg |title=Hillary Clinton's voice |type=speech |description=Clinton conceding the 2016 presidential election.<br>Recorded November 9, 2016}} }}",,,,,,,,Hillary Clinton,,,,,,,67th [[United States Secretary of State]],,,,,,[[First Lady of the United States]],[[First ladies and gentlemen of Arkansas|First Lady of Arkansas]],,,,,,,,,,,,,,,,,,{{ubl |[[Hugh Rodham (born 1911)|Hugh Rodham]] |[[Dorothy Howell Rodham|Dorothy Howell]]}},,,,{{ubl |[[Republican Party (United States)|Republican]] (1965–1968) |[[Democratic Party (United States)|Democratic]] (1968–present)}},,,[[Condoleezza Rice]],[[Daniel Patrick Moynihan]],,,,,,[[Barbara Bush]],Gay Daniels White,Barbara Pryor,,,,,,[[Barack Obama]],,,[[Bill Clinton]],,,,,,,,,,,,,,,,,,[[Clinton family]] (by marriage),,,,,,,,,,Hillary Rodham Clinton Signature.svg,Cursive signature in ink,,"{{marriage|[[Bill Clinton]]|October 11, 1975}}",,[[New York (state)|New York]],,,,,,,,,,,,,,,,,,,,,[[John Kerry]],[[Kirsten Gillibrand]],,,,,,[[Laura Bush]],Betty Tucker,Gay Daniels White<!-- Don't add link per MOS:OVERLINK. -->,,,,,,,,,,,,,,,,,"February 1, 2013","January 21, 2009",,,"January 20, 2001","December 12, 1992","January 19, 1981",,,,,,,,In role,In role,In role,"January 21, 2009","January 3, 2001",,,"January 20, 1993","January 11, 1983","January 9, 1979",,,,,,,,,,,,,,,,,{{url|hillaryclinton.com|Official website}},
,,,,,,,,,,,,,,,,[[Mark Warner]],[[Ed Markey]],,,,,{{birth date and age|1949|6|22}},Elizabeth Ann Herring,"[[Oklahoma City]], Oklahoma, U.S.",,,,"Official portrait, 2016",,"2, including [[Amelia Warren Tyagi|Amelia]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Damon Silvers]],,"Warren questions witnesses on [[private equity firms]] and increased rental prices<br/>Recorded August 2, 2022}} }}",,,,[[George Washington University]]<br>[[University of Houston]] ([[Bachelor of Science|BS]])<br>[[Rutgers University]] ([[Juris Doctor|JD]]),yes,,,,,Elizabeth Warren on private equity firms and increased rental prices.ogg,,,,,,,,,,,,,,,"Elizabeth Warren, official portrait, 114th Congress.jpg",,,,,,,United States Senator,,,[[Chuck Schumer]],,,,,,,,{{Listen,,,,,,,,Elizabeth Warren,,,,,,,"Ranking Member of the [[United States Senate Committee on Banking, Housing, and Urban Affairs|Senate Banking Committee]]",[[Vice Chair of the Senate Democratic Caucus]],,,,,,Special Advisor for the [[Consumer Financial Protection Bureau]],Chair of the [[Congressional Oversight Panel]],,,,,,,,,,,,,,,,"[[Republican Party (United States)|Republican]] (1991–1996)<ref name=GlobeSteep>{{cite web |url=https://www.boston.com/uncategorized/noprimarytagmatch/2012/08/19/for-professor-warren-a-steep-climb |work=[[The Boston Globe]] |title=For Professor Warren, a steep climb |access-date=January 27, 2014 |date=August 19, 2012 |first1=Stephanie |last1=Ebbert |first2=Michael |last2=Levenson |archive-date=October 16, 2017 |archive-url=https://web.archive.org/web/20171016105325/https://www.boston.com/uncategorized/noprimarytagmatch/2012/08/19/for-professor-warren-a-steep-climb |url-status=live}}</ref>",,,,,[[Democratic Party (United States)|Democratic]] (1996–present),center,,[[Tim Scott]],Chuck Schumer,,,,,,[[Scott Brown (politician)|Scott Brown]],''Position established'',''Position established'',,,,,,,,,,[[Barack Obama]],,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Warren Signature.svg,,,"{{ubl |{{marriage|Jim Warren|1968|1978|end=div}} |{{marriage|[[Bruce H. Mann]]|July 12, 1980}}}}",,,[[Massachusetts]],,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Raj Date]],[[Ted Kaufman]],,,,,,,,,,,,,,,,,,,,,,"August 1, 2011","November 15, 2010",,,,,,,,,,,"January 3, 2025","January 3, 2017",,,"January 3, 2013","September 17, 2010","November 25, 2008",,,,,,,,,Warren's voice,,,,speech,,,,{{URL|https://www.warren.senate.gov/|Senate website}}<br/>{{URL|https://elizabethwarren.com/|Campaign website}},
,,,,,,,,,,,,,,,,,,"Official vice presidential portrait. Head shot of Harris smiling, wearing an American flag lapel pin and pearl earrings, and dressed formally.",,,,{{birth date and age|1964|10|20}},Kamala Devi Harris{{efn|name=fn1}},"[[Oakland, California]], U.S.",,,,"Official portrait, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{unbulleted list|[[Howard University]] ([[Bachelor of Arts|BA]])|[[University of California College of the Law, San Francisco|University of California, Hastings]] ([[Juris Doctor|JD]])}}",,,,,,,,,,[[Jerry Brown]],,,,,,,,,,,Kamala Harris Vice Presidential Portrait.jpg,,,,,,,United States Senator,,,,,,,,,,,"{{Listen |pos=center |embed=yes |filename=Kamala Harris speaks on the Americans with Disabilities Act.ogg |title=Harris's voice |type=speech |description=Harris on the [[Americans with Disabilities Act]].<br>Recorded July 26, 2021}} }}",,,,,,,,Kamala Harris,,,,,,{{hlist|Politician|lawyer}},,Vice President of the United States,,,,,,32nd [[Attorney General of California]],27th [[District Attorney of San Francisco]],,,,,,,49th,,,,,,,,,,{{unbulleted list|[[Donald J. Harris]] (father)|[[Shyamala Gopalan]] (mother)}},,,,[[Democratic Party (United States)|Democratic]],,,,[[Mike Pence]],,,,,,[[Barbara Boxer]],Jerry Brown,[[Terence Hallinan]],,,,,,,[[Joe Biden]],,,,,,,,,,,,,,,,,,,,[[Family of Kamala Harris|Harris family]],,,,,,,,,,Kamala Harris Signature.svg,Cursive signature in ink,,"{{marriage|[[Doug Emhoff]]|August 22, 2014}}",,,[[California]],,,,,,,,,,,,,,,,,,,,,[[JD Vance]],,,,,,[[Alex Padilla]],[[Kathleen Kenealy]] (acting),[[George Gascón]],,,,,,,,,,,,,,,,,,"January 20, 2025",,,"January 18, 2021","January 3, 2017","January 3, 2011",,,,,,,,,,,,"January 20, 2021",,,"January 3, 2017","January 3, 2011","January 8, 2004",,,,,,,,,,,,,,,,,{{URL|kamalaharris.com|Official website}},
,,,,,,,,,,,,,,,,,,Official portrait of Michelle Obama in the Green Room of the White House,,,,{{birth date and age|1964|1|17}},Michelle LaVaughn Robinson,"Chicago, Illinois, U.S.",,,,"Official portrait, 2013",,{{flatlist| * [[Malia Obama|Malia]] * [[Sasha Obama|Sasha]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michelle Obama 2013 official portrait.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Michelle Obama,,,,,,,[[First Lady of the United States]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Democratic Party (United States)|Democratic]],,,[[Laura Bush]],,,,,,,,,,,,,,,[[Barack Obama]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{marriage|[[Barack Obama]]|October 3, 1992}}",,,,,,,,,,,,,,,,,,,,,,,[[Melania Trump]],,,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 2017",,,,,,,,,,,,In role,,,,,"January 20, 2009",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Malala Yousafzai,,,,{{birth date and age|df=yes|1997|7|12}},,"[[Mingora]], Swat, Pakistan<ref name=whoswho>{{Who's Who | author=Anon| title=Yousafzai, Malala | id=U282567 | year=2019 | doi=10.1093/ww/9780199540884.013.U282567| edition=online [[Oxford University Press]]|location=Oxford}}</ref>",,,,"Yousafzai in December 2023, [[Johannesburg]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]])",,,,"[[Ziauddin Yousafzai]]<ref name=""Tighe 2017"">{{cite web | last=Tighe | first=Siobhann | title=Malala Yousafzai's mother: Out of the shadows | publisher=BBC News | date=18 April 2017 | url=https://www.bbc.com/news/world-39550681 | access-date=13 January 2021 | archive-date=19 April 2021 | archive-url=https://web.archive.org/web/20210419010726/https://www.bbc.com/news/world-39550681 | url-status=live }}</ref>",,,,,,,,,,,,,,,,[[2014 Nobel Peace Prize|Nobel Peace Prize]] (2014),Malala Yousafzai 2023 portrait 2x3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,Malala Yousafzai,,{{nobold|ملاله یوسفزۍ}},ps,,,Activist for [[female education]]<!-- no longer a student-->,,,,,,,,,,,,,,,,,,,,,,[[Malala Fund]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|Asser Malik|2021}}<ref>{{cite web |title=Malala Yousafzai announces her marriage on Twitter |url=https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |website=CBC News |publisher=Associated Press |access-date=9 November 2021 |date=9 November 2021 |archive-date=9 November 2021 |archive-url=https://web.archive.org/web/20211109224521/https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |url-status=live }}</ref>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://malala.org/}} }},
,,,,,,,,,,,,,,,,,,,,,,{{birth date and age|1982|10|4}},"Ilham Abdullahi Omar<ref>{{cite tweet |number=1317600147321257985 |user=IlhanMN |title=#MyNameIs Ilham, I prefer Ilhan. I never liked the M sound. It means ""Inspiration"" in Arabic. My father named me Ilham and inspired me to lead a life of service to others. In his honor I am voting for an inspirational ticket over desperate and maddening one. |author=Ilhan Omar |date=October 17, 2020}}</ref>","[[Mogadishu]], Somalia<!-- DO NOT LINK PER MOS:GEOLINK -->",,,,"Official portrait, 2019",,"3, including [[Isra Hirsi]]",,United States (2000–present),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ushr|MN|5|5th}},60B,,[[North Dakota State University]] ([[Bachelor of Arts|BA]]),,,,,,,,,,,,,,,,,,,,,"Ilhan Omar, official portrait, 116th Congress (cropped) A.jpg",,,,,,,,,,,,,,,,,,"{{Listen |pos=center |embed=yes |filename=Rep. Ilhan Omar on her Re-Election and Increased Diversity in the Minnesota Legislature.ogg |title=Omar's voice |type=speech |description=Omar on her [[2022 United States House of Representatives elections in Minnesota#District 5|reelection]] and increased diversity after the [[2022 Minnesota elections|2022 Minnesota state elections]].<br>Recorded November 17, 2022}} }}",,,,,,,,Ilhan Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Democratic Party (United States)|Democratic]] ([[Minnesota Democratic-Farmer-Labor Party|DFL]]),,,[[Keith Ellison]],[[Phyllis Kahn]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilhan Omar Signature from the Goldman Collection.png,,,"{{ubl | {{marriage|Ahmed Nur Said Elmi|2009|2017|end=div}}{{efn|Omar has stated that she and Elmi had a [[Divorce in Islam|faith-based divorce]] in 2011, and remained legally married until 2017.}} | {{marriage|Ahmed Abdisalan Hirsi{{efn|Omar has stated that she and Hirsi had a [[marriage in Islam|faith-based marriage]] in 2002 and a [[Divorce in Islam|faith-based divorce]] in 2008, before reconciling in 2012 and getting legally marriage in 2018. Their divorced was finalized on November 5, 2019.}}|2002|2008|end=div}}|{{marriage|<!--Ahmed Abdisalan Hirsi-->|2018|2019|end=div}} | {{marriage|Tim Mynett|2020}}}}",[[Minnesota]],,,Minnesota,,,,,,,,,,,,,,,,,,,,[[Mohamud Noor]],,,,,,,,,,,,,,,,,,,,,,,,,,"January 3, 2019",,,,,,,,,,,,,,,,"January 3, 2019","January 2, 2017",,,,,,,,,,,,,,,,,,,,,,{{url|omar.house.gov|House website}}<br>{{url|ilhanomar.com|Campaign website}},
,,,,,,,,,,,,,,,,,,Head shot of Tlaib smiling,,,,{{birth date and age|1976|7|24}},Rashida Harbi,"[[Detroit]], Michigan, U.S.",,,,"Official portrait, 2024",,2,,,,,,{{ubl |{{ushr|MI|13|13th district}} (2019–2023) |{{ushr|MI|12|12th district}} (2023–present)}},[[Michigan's 12th House of Representatives district|12th district]] (2009–2012)<br>[[Michigan's 6th House of Representatives district|6th district]] (2013–2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Wayne State University]] ([[Bachelor of Arts|BA]])<br>[[Thomas M. Cooley Law School]] ([[Juris Doctor|JD]]),,,,,,,,,,,,,,,,,,,,,Tlaib Rashida 119th Congress (3x4 cropped).jpg,,,,,,,,,,,,,,,,,,{{Listen |pos=center |embed=yes |filename=Rep Rashida Tlaib.ogg |title=Tlaib's voice |type=speech |description=Tlaib at the 2019 [[Muslim Public Affairs Council|MPAC]] conference.<br>Recorded November 2019}} }},,,,,,,,Rashida Tlaib,,,,,,,,Member of the [[Michigan House of Representatives]],,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Democratic Party (United States)|Democratic]],,,[[Brenda Jones (politician)|Brenda Jones]],[[Steve Tobocman]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firma de Rashida Tlaib.svg,,,{{marriage|Fayez Tlaib|1998|2015|end=div}},[[Michigan]],,,,,,,,,,,,,,,,,,,,,,,[[Stephanie Chang]],,,,,,,,,,,,,,,,,,,,,,,,,,"December 31, 2014",,,,,,,,,,,,,,,,"January 3, 2019","January 1, 2009",,,,,,,,,,,,,,,,,,,,,,{{url|tlaib.house.gov|House website}}<br>{{url|rashidaforcongress.com|Campaign website}},
