[[presidential medal of freedom]]<ref name,academic_advisors,alma_mater,alt,awards,baptised,birth_date,birth_name,birth_place,burial_place,caption,child,children,church,citizenship,constituency2,death_date,death_place,doctoral_advisor,education,embed,employer,era,ethnicity,fields,footnotes,genre,genres,honorific-suffix,honorific_prefix,honorific_suffix,image,image_size,image_upright,imagesize,influenced,influences,institutions,laicized,language,last,main_interests,module,monarch,movement,name,nationality,native_name,native_name_lang,notable_ideas,notable_works,notablework,notableworks,occupation,office,office2,ordained,organisation,organization,other_names,parents,partner,party,period,portaldisp,predecessor,predecessor2,president,pseudonym,region,relatives,religion,resting_place,resting_place_coordinates,school_tradition,signature,signature_alt,signature_size,spouse,spouses,subject,subjects,successor,successor2,term_end,term_end2,term_start,term_start2,thesis_title,thesis_url,thesis_year,title,website,workplaces,works,years_active,yearsactive,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end
,,"[[Jesus College, Cambridge]]",,,,{{birth date|df=y|1772|10|21}},,"{{nowrap|[[Ottery St Mary]], Devon, England}}",,1795 portrait by [[Peter Vandyke]],,"4, including [[Hartley Coleridge|Hartley]], [[Sara Coleridge|Sara]] and [[Derwent Coleridge|Derwent]]",,,,{{death date and age |df=y|1834|7|25|1772|10|21}},"[[Highgate]], Middlesex, England",,,,,,,,,,,,,,File:SamuelTaylorColeridge.jpg,,,,,,,,,,,,,[[Romanticism]],Samuel Taylor Coleridge,,,,,,,"{{cslist|''[[The Rime of the Ancient Mariner]]''|""[[Kubla Khan]]""|''[[Christabel (poem)|Christabel]]''|[[conversation poems]]|''[[Biographia Literaria]]''}}",{{cslist|Poet|philosopher|critic|moralist|theologian}},,,,,,,,,,,,,,,,,[[James Coleridge]] (brother),,,,,Samuel Taylor Coleridge signature.jpg,,,{{marriage|Sara Fricker|1795}},,{{cslist|[[Spiritual philosophy]]|politics|religion}} }},,,,,,,,,,,,,,,,,,,
,,"[[St John's College, Cambridge]]",,,,{{birth date|df=yes|1770|04|07}},,"[[Cockermouth]], Cumberland, England",,"Wordsworth, 1842",,"6, including [[Dora Wordsworth|Dora]]",,,,{{death date and age|df=yes|1850|04|23|1770|04|07}},"[[Rydal, Cumbria|Rydal]], Westmorland, England",,,,,,,,,,,,,,File:Wordsworth on Helvellyn by Benjamin Robert Haydon.jpg,,,,,,,,,,,,[[Queen Victoria|Victoria]],,William Wordsworth,,,,,,,,Poet,[[Poet Laureate of the United Kingdom]],,,,,,,,,,,[[Robert Southey]],,,,,{{plain list| * [[Dorothy Wordsworth]] (sister) * John Wordsworth (brother) * [[Christopher Wordsworth (divine)|Christopher Wordsworth]] (brother) * [[Richard Wordsworth]] (great-great-grandson) }},,,,,,,,{{marriage|Mary Hutchinson|1802}},,,,"[[Alfred, Lord Tennyson]]",,23 April 1850,,6 April 1843,,,,,,,,,,,,,
,,,,,,{{birth date|df=yes|1757|11|28}},,"[[Soho]], London, England",,"''[[Portrait of William Blake]]'' by [[Thomas Phillips]], 1807",,,,,,{{death date and age|df=yes|1827|08|12|1757|11|28}},"[[Charing Cross]], London,<ref name=""death"">{{cite web|title=Blake & London|url=http://www.blakesociety.org/about-blake/blake-london/|publisher=The Blake Society|access-date=15 August 2014|date=28 March 2008|archive-date=15 September 2015|archive-url=https://web.archive.org/web/20150915004604/http://www.blakesociety.org/about-blake/blake-london/|url-status=dead}}</ref> England",,[[Royal Academy of Arts]],,,,,,,,,,,,William Blake by Thomas Phillips.jpg,,,,,,,,,,,,,,William Blake,,,,,,,,{{flatlist| * Poet * painter * [[printmaker]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date|df=yes|1688|5|21}} O.S.,,"[[London]], England",,Portrait {{circa|1727}},,,,,,{{death date and age|df=yes|1744|5|30|1688|5|21}},"[[Twickenham, Middlesex]], England",,,,,,,,,"[[Poetry]], [[satire]], translation",,,,,Alexander Pope by Michael Dahl.jpg,,,,,,,,,,,,,"[[Classicism]], [[Augustan literature]]",Alexander Pope,,,,,,,"''[[The Dunciad]]'', ''[[The Rape of the Lock]]'', ''[[An Essay on Criticism]]'', his translation of [[Homer]]","Writer, translator",,,,,,,,,,,,,,,,,,,"[[St Mary's Church, Twickenham]], Middlesex, England",,,Alexander Pope signature.svg }},,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date|df=yes|1667|11|30}},Jonathan Swift,"[[Dublin]], [[Kingdom of Ireland|Ireland]]",,Portrait of Swift by [[Charles Jervas]] (1718),,,,,,{{death date and age|df=yes|1745|10|19|1667|11|30}},"Dublin, Ireland",,,,,,,,,,,,[[The Very Reverend]],,Charles Jervas (c.1675-1739) - Jonathan Swift - NPG 278 - National Portrait Gallery.jpg,,,,,,,,,,,,,,Jonathan Swift,,,,,,,,{{flatlist| * Writer * poet * satirist * political [[pamphleteer]] * priest }},,,,,,,,,,,,,,,{{cslist|[[Isaac Bickerstaff]]|M. B. Drapier|Lemuel Gulliver|Simon Wagstaff|Esq.}},,,,"[[St Patrick's Cathedral, Dublin|St Patrick's Cathedral]], Dublin, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1571 or 1572{{efn|name=fn1}},,"London, [[Kingdom of England|England]]",,"Donne, painted by [[Isaac Oliver]]",,,,,,{{death date and age|1631|3|31|1572|1|22|df=y}}<!--31 March 1631 (aged 59)-->{{sfn|Colclough|2011}},"London, England",,,,,,,,,,,,[[The Very Reverend]],,John Donne by Isaac Oliver.jpg,,,,,,,,,,,,,,John Donne,,,,,,,,{{flatlist| * Poet * priest * lawyer }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{c.|1343}},,"[[London]], England",,"Manuscript portrait by [[Thomas Hoccleve]], 1412",,"4, including [[Thomas Chaucer|Thomas]]",,,,"{{death date and age|df=y|1400|10|25|1343||}}<!--His monument states that he was in his 53rd year at death, i. e. 52-->","London, England",,,,,[[England in the Late Middle Ages|Plantagenet]],,,,,{{hlist|[[Epic poem]]|[[lyric poem]]|[[short story]]|[[treatise]]}},,,,Chaucer manuscrit portrait (détail).jpeg,,,,,,,,[[Middle English]],,,{{Infobox writer|embed=yes,,Precursor to the [[English Renaissance]],Geoffrey Chaucer,,,,,,,''[[The Canterbury Tales]]'',{{hlist|Author|poet|philosopher|[[bureaucrat]]|diplomat}},,,,,,* Geffray Chaucer (orthographical variant) * Geffroy Chaucer (orthographical variant),,,,[[Middle English literature]],,,,,,,,,"[[Westminster Abbey]], London, England",,,File:Geoffrey Chaucer.svg,,200px }},{{marriage|[[Philippa Roet]]|1366}},,,,,,,,,,,,,,,,,from 1368,,,,
,,,,,,{{Birth based on age at death|46|1599|01|13|slash=yes}},,"London, England",,,,2,,,,{{Death date and given age|df=yes|1599|01|13|46}},"London, England",,"[[Pembroke College, Cambridge]] ([[Master of Arts|M.A.]])",,,,,,,,{{hlist|[[Epic poetry|Epic poem]]|[[eclogue]]|[[sonnet]]|[[elegy]]|[[hymn]]|[[epithalamium]]|[[beast fable]]|poetical [[autobiography]]|political [[treatise]]|[[history]]|translation|correspondence}},,,,Edmund Spenser oil painting.JPG,,,,,,,,[[Early Modern English]],,,,,{{cslist|[[English Renaissance]]|[[Petrarchism]]{{sfn|Dasenbrock|1985|pp=47–48}}}},Edmund Spenser,,,,,''[[The Faerie Queene]]'',,,{{cslist|Poet|state servant}},,,,,,,,,,[[Elizabethan era]],,,,,Immerito {{small|(in 1579)}},,,,[[Westminster Abbey]],,,Edmund Spenser Signature.svg }},,,"{{ubl|Machabyas Childe {{small|(c. 1579–c. 1593, her death)}}|Elizabeth Boyle {{small|(m. 1594–1599, his death)}}}}",,,{{cslist|Love|beauty|beautiful lady|[[pastoral]]}},,,,,,,,,,,,,,1569–1599,,,,
,,[[Westminster School]],,,,{{circa}} 11 June 1572,Benjamin Jonson,England,,Portrait {{c.|1617}},,3,,,,18 August 1637 (aged 65),"London, England",,,,,,,,,,,,,,Benjamin Jonson by Abraham van Blyenberch.jpg,,,,,,,,,,,,,[[English Renaissance]],Ben Jonson,,,,,,,,Playwright,,,,,,,,,,Before 1597{{snd}}1637,,,,,,,,,[[Westminster Abbey]] }},,,Ben Jonson Signature.svg,,,{{marriage|Ann Therese Lewis|1594}},,,,,,,,,,,,,,,,,,,,,
,,"[[Corpus Christi College, Cambridge]]",,,26 February 1564,,,"[[Canterbury]], Kent, England",,"[[Marlowe portrait|Anonymous portrait]], possibly of Marlowe,<br>at [[Corpus Christi College, Cambridge]]",,,,,,30 May 1593 (aged 29),"[[Deptford]], Kent, England",,,,,{{unbulleted list|[[Elizabethan era|Elizabethan]]}},,,,,,,,,Christopher Marlowe.jpg,,,,,,,,,,,,,[[English Renaissance]],Christopher Marlowe,,,,,"{{cslist|''[[Hero and Leander (poem)|Hero and Leander]]''|''[[Tamburlaine the Great]]''|''[[Edward II (play)|Edward the Second]]''|''[[Doctor Faustus (play)|The Tragical History of Doctor Faustus]]''|''[[Dido, Queen of Carthage (play)|Dido, Queen of Carthage]]''}}",,,{{cslist|Playwright|poet}},,,,,,,,,,,,,,,,,,,"[[Deptford St Nicholas|Churchyard of St. Nicholas]], Deptford; unmarked; memorial plaques inside and outside church",,,Christopher Marlowe Signature.svg }},,,,,,,,,,,,,,,,,,,,,c. mid-1580s – 1593,,,
,,[[King's College London]],Black-and-white head shot of Hardy,,,{{birth date|df=yes|1840|6|2}},,"[[Stinsford]], Dorset, England",,"Hardy, {{circa|1910–1915}}",,,,,,{{death date and age|df=yes |1928|1|11|1840|6|2}},"[[Dorchester, Dorset]], England",,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|OM}},Thomas Hardy Restored Portrait 1910–1915 (3x4 cropped).jpg,,,,,,,,,,,,,{{cslist|[[Naturalism (literature)|Naturalism]]|[[Victorian literature]]}},Thomas Hardy,,,,,,,{{cslist|''[[Tess of the d'Urbervilles]]''|''[[Far from the Madding Crowd]]''|''[[The Mayor of Casterbridge]]''|''[[The Return of the Native]]''|''Collected Poems''|''[[Jude the Obscure]]''}},{{cslist|Novelist|poet|short story writer}},,,,,,,,,,,,,,,,,,,"{{unbulleted list | Stinsford parish church (heart) | [[Poets' Corner]], Westminster Abbey (ashes) }}",,,Thomas Hardy signature.svg }},,,{{unbulleted list |{{marriage|[[Emma Gifford]]|1874|1912|end=her death}}| {{marriage|[[Florence Dugdale]]|1914}}}},,,,,,,,,,,,,,,,,,,,,
,,[[King's College London]],Photograph of Virginia Woolf in 1902; photograph by George Charles Beresford,,,{{birth date|df=y|1882|1|25}},Adeline Virginia Stephen,"[[South Kensington]], London, England",,Woolf in 1902,,,,,,{{death date and age|df=y|1941|3|28|1882|1|25}},"[[River Ouse, Sussex|River Ouse]], East Sussex, England",,,,,,,,,,,,,,George Charles Beresford - Virginia Woolf in 1902 - Restoration.jpg,,,,,,,,,,,{{Listen| embed=yes |filename = On Craftsmanship - the only surviving recording of Virginia Woolf.flac |title = Woolf's voice |type = speech |description   =[[BBC Radio]] broadcast 29 April 1937{{sfn|Woolf|1937}}}} }},,,Virginia Woolf,,,,,,,{{plainlist| *''[[Mrs Dalloway]]'' (1925) *''[[To the Lighthouse]]'' (1927) *''[[Orlando: A Biography|Orlando]]'' (1928) *''[[A Room of One's Own]]'' (1929) *''[[The Waves]]'' (1931)}},{{hlist|Novelist|essayist|publisher|critic}},,,,,,,{{ubl|[[Leslie Stephen]]|[[Julia Stephen|Julia Prinsep Jackson]]}},,,,,,,,,,{{plainlist| * [[Vanessa Bell|Vanessa Stephen]] (sister) * [[Thoby Stephen]] (brother) * [[Adrian Stephen]] (brother) * [[George Herbert Duckworth]] (half-brother) * [[Gerald Duckworth]] (half-brother) * [[Bella Sidney Woolf]] (sister-in-law) * [[Katharine Stephen]] (cousin)}},,,,,Virginia Woolf signature.svg,,,{{marriage|[[Leonard Woolf]]|10 August 1912}},,,,,,,,,,,,,,,,,,,,,
,,,Photograph of Joyce in profile,,,{{Birth date|1882|02|02|df=yes}},,"[[Rathgar]], Dublin, Ireland",,Joyce {{circa|1918}},,"2, including [[Lucia Joyce|Lucia]] }}",,,,{{Death date and age|1941|01|13|1882|02|02|df=yes}},"[[Zurich]], Switzerland",,,,,,,,,,,,,,Revolutionary Joyce Better Contrast.jpg,,,,,,,,,,,,,,James Joyce,,,,,,,{{Plainlist| * ''[[Dubliners]]'' (1914) * ''[[A Portrait of the Artist as a Young Man]]'' (1916) * ''[[Ulysses (novel)|Ulysses]]'' (1922) * ''[[Finnegans Wake]]'' (1939)}},Writer,,,,,,,,,,,,,,,,,,,,,,James Joyce signature.svg,,,[[Nora Barnacle]],,,,,,,,,,,,,,,,,,,,,
,,,Black-and-white photograph of Kafka as a young man with dark hair in a formal suit,,,{{birth date|1883|7|3|df=y}},,"Prague, Austria-Hungary","[[New Jewish Cemetery, Prague]]",Kafka in 1923,,,,,,{{death date and age|1924|6|3|1883|7|3|df=y}},"[[Klosterneuburg]], Austria",,,,,,,,,,,,,,"Franz Kafka, 1923.jpg",,,,,,,,,,,,,,Franz Kafka,,,,,,,,{{flatlist| * Novelist * short story writer * insurance officer }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[[University of Algiers]],,[[1957 Nobel Prize in Literature|Nobel Prize in Literature]] (1957),,{{birth date|1913|11|7|df=yes}},,"[[Mondovi, Algeria|Mondovi]], [[French Algeria]]",,"Portrait from ''[[New York World-Telegram and The Sun]] Photograph Collection'', 1957",,,,,,{{death date and age|df=yes|1960|1|4|1913|11|7}},"[[Villeblevin]], France",,,,,,,,,,,,,,"Albert Camus, gagnant de prix Nobel, portrait en buste, posé au bureau, faisant face à gauche, cigarette de tabagisme.jpg",,,,,,,,,,,,,,Albert Camus,,,,,''[[The Stranger (Camus novel)|The Stranger]]'' / ''The Outsider''<br/>''[[The Myth of Sisyphus]]''<br/>''[[The Rebel (book)|The Rebel]]''<br/>''[[The Plague (novel)|The Plague]]'',,,,,,,,,,,,,,,,,,,[[Western philosophy]],,,,,"{{plainlist| * [[Continental philosophy]] * [[Absurdism]] * [[Existentialism]] * [[French Nietzscheanism]]<ref>{{cite book|last=Schrift|first=Alan D.|year=2010|chapter=French Nietzscheanism|title=Poststructuralism and Critical Theory's Second Generation|editor-last=Schrift|editor-first=Alan D.|publisher=Acumen|location=Durham, UK|series=The History of Continental Philosophy|volume=6|pages=19–46|isbn=978-1-84465-216-7|chapter-url=https://www.nietzsche-en-france.fr/app/download/12288269526/SCHRIFT+-+French+Nietzscheanism.pdf}}</ref> * [[Anarcho-syndicalism|Syndicalist anarchism]] }}",Albert Camus signature.svg,Albert Camus signature,150px,{{ubl | {{marriage|Simone Hié|1934|1936|end=div}} | {{marriage|[[Francine Faure]]|1940}}}},,,,,,,,,,,,,,,,,,,,,
,,,,"[[Nobel Prize|Nobel Prize for Literature]] (1964, declined) }}",,{{Birth date|df=yes|1905|6|21}},Jean-Paul Charles Aymard Sartre,"[[Paris]], [[French Third Republic|France]]",,Sartre in 1965,,,,,,{{Death date and age|df=yes|1980|4|15|1905|6|21}},"Paris, France",,"{{Lang|fr|[[École normale supérieure (Paris)|École normale supérieure]]|italic=no}} ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])",,,[[20th-century philosophy]],,,,,,,,,Jean Paul Sartre 1965.jpg,,,,,,,,,,"[[Metaphysics]], [[epistemology]], [[ethics]], [[consciousness]], [[self-consciousness]], [[literature]], [[political philosophy]], [[ontology]]",,,,Jean-Paul Sartre,,,,"[[Bad faith (existentialism)|Bad faith]], ""[[existence precedes essence]]"", [[Nothing#Existentialists|nothingness]], ""Hell is other people"", [[Situation (Sartre)|situation]], [[Pre-reflective self-consciousness|transcendence of the ego]] (""every positional consciousness of an object is a non-positional consciousness of itself""),<ref>Sartre, J.-P. 2004 [1937]. ''The Transcendence of the Ego''. Trans. Andrew Brown. Routledge, p. 7.</ref><ref>Siewert, Charles, [http://plato.stanford.edu/archives/fall2011/entries/consciousness-intentionality/ ""Consciousness and Intentionality""] {{Webarchive|url=https://web.archive.org/web/20131202061313/http://plato.stanford.edu/archives/fall2011/entries/consciousness-intentionality/ |date=2 December 2013 }}, The Stanford Encyclopedia of Philosophy (Fall 2011 Edition), [[Edward N. Zalta]] (ed.).</ref> [[The Imaginary (Sartre)|the imaginary]], [[being for itself]], [[neocolonialism]]",,,,,,,,,,,,[[Simone de Beauvoir]] (1929–1980),,,,,,,,[[Western philosophy]],,,,,"[[Continental philosophy]], [[existentialism]], [[Phenomenology (philosophy)|phenomenology]], [[existential phenomenology]],<ref name=""SEP""/> [[hermeneutics]],<ref name=""SEP""/> [[Western Marxism]], [[anarchism]]",Jean-Paul Sartre signature.svg,,100px,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|1908|1|9|df=yes}},Simone Lucie Ernestine Marie Bertrand de Beauvoir,"Paris, France",,Beauvoir in 1967,,,,,,{{Death date and age|1986|4|14|1908|1|9|df=yes}},"Paris, France",,"{{plainlist| * [[University of Paris]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]]) * [[École Normale Supérieure|ENS]] ([[audit student]]) }}",,,,,,,,,,,,Simone De Beauvoir (cropped).jpg,,,,,,,,,,,,,,Simone de Beauvoir,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Montparnasse Cemetery]], Paris",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|df=yes|1871|7|10}},Valentin Louis Georges Eugène Marcel Proust,"Paris, [[French Third Republic|France]]",,Proust in 1900,,,,,,{{Death date and age|df=yes|1922|11|18|1871|7|10}},"Paris, France",,,,,,,,,,,,,,Otto_Wegener_Proust_vers_1895_bis.jpg,,,,,,,,,,,,,,Marcel Proust,,,,,,,,{{flatlist| * [[Novelist]] * essayist * critic }},,,,,,,,,,,,,,,,,,,[[Père Lachaise Cemetery]],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|df=yes|1871|7|10}},Valentin Louis Georges Eugène Marcel Proust,"Paris, [[French Third Republic|France]]",,Proust in 1900,,,,,,{{Death date and age|df=yes|1922|11|18|1871|7|10}},"Paris, France",,,,,,,,,,,,,,Otto_Wegener_Proust_vers_1895_bis.jpg,,,,,,,,,,,,,,Marcel Proust,,,,,,,,{{flatlist| * [[Novelist]] * essayist * critic }},,,,,,,,,,,,,,,,,,,[[Père Lachaise Cemetery]],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|1821|12|12|df=yes}},,"[[Rouen]], [[Normandy]], [[Bourbon Restoration in France|Kingdom of France]]",,Flaubert {{circa|1865}},,,,,,{{death date and age|1880|5|8|1821|12|12|df=y}},"Croisset ([[Canteleu]]), Rouen, [[French Third Republic]]",,,,,,,,,[[Fiction]],,,,,Gustave Flaubert.jpg,,,,,,,,,,,,,"[[Realism (arts)|Realism]], [[romanticism]]",Gustave Flaubert,,,,,,,{{cslist|,Novelist,,,,,,,,,,,,,,,,,,,[[Rouen Monumental Cemetery]],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Victor-Marie Hugo,,,1875 portrait,,,,,,,,,,,,,,,,{{cslist|Novel|poetry|theatre}},,,,,Victor Hugo by Étienne Carjat 1876 - full.jpg,,,,,,,,,,,{{Infobox writer |embed=yes,,[[Romanticism]],Victor Hugo,,,,,,,{{cslist|''[[Les Misérables]]''|''[[Ruy Blas]]''|''[[The Hunchback of Notre-Dame]]''}},,,,,,,,,,,,,,,,,,,,,,,Victor Hugo Signature.svg }},,,,,,,,,,,,,,,,,,,,1829–1883,,,,
,,,,,,{{birth date|df=y|1840|4|2}},Émile Édouard Charles Antoine Zola,"Paris, France<!--See MOS:GEOLINK-->",,Zola in 1898,,,,,,{{death date and age|df=y|1902|9|29|1840|4|2}},"Paris, France",,,,,,,,,,{{cslist|[[Novel]]|[[short story]]}},,,,"Nadar (atelier de) - Emile Zola, 13-556535.jpg",,,,,,,,,,,,,[[Naturalism (literature)|Naturalism]],Émile Zola,,,,,,,"{{Lang|fr|[[Les Rougon-Macquart]]}}, ''[[Thérèse Raquin]]'', ''[[Madeleine Férat]]''",{{hlist|Novelist|journalist|playwright|poet}},,,,,,,{{ubl|[[François Zola]] (father)|Émilie Aubert (mother)}},,,,,,,,,,,,"[[Panthéon, Paris]]",,,Zola signature.svg }},,,Éléonore-Alexandrine Meley,,,,,,,,,,,,,,,,,,,,,
,,[[University of Paris]],,{{MilAward Desc|FRLdHK|40px}} }},,{{Birth date|df=yes|1799|05|20}},"Honoré Balzac<ref name=""Jean-Louis Dega 1998"">Jean-Louis Dega, La vie prodigieuse de Bernard-François Balssa, père d'Honoré de Balzac : Aux sources historiques de La Comédie Humaine, Rodez, Subervie, 1998, 665 p.</ref>","[[Tours]], Touraine, France",,Revised [[daguerreotype]] taken in 1842,,,,,,{{Death date and age|df=yes|1850|08|18|1799|05|20}},"[[Paris]], France",,,,,,,,,{{cslist|Novel|drama|essay}},,,,,奥·巴尔扎克.png,,,,,,,,,,,,,[[Literary realism|Realism]],Honoré de Balzac,,,,,,,{{cslist|''[[La Comédie humaine]]''|''[[Eugénie Grandet]]''|''[[La Peau de chagrin]]''|''[[Cousin Bette|La Cousine Bette]]''|''[[Le Père Goriot]]''|''[[Colonel Chabert (novel)|Colonel Chabert]]''|''[[La Rabouilleuse]]''|''[[Le Lys dans la vallée]]''|''[[Illusions perdues]]''|''[[Splendeurs et misères des courtisanes]]''}},{{cslist|Writer|critic|journalist|[[printer (publishing)|printer]]}},,,,,,,,,,,,,,,,,,,[[Père Lachaise Cemetery]],,,Honoré de Balzac signature c1842-43.svg,,,{{marriage|[[Ewelina Hańska]]|1850}},,,,,,,,,,,,,,,,,1829–1850,,,,
,,,,,,{{birth date|df=yes|1802|7|24}},Alexandre Dumas Davy de la Pailleterie,"[[Villers-Cotterêts]], Picardy, [[French First Republic|France]]",,Dumas in 1855,,"4, including [[Alexandre Dumas fils|Alexandre Dumas {{lang|fr|fils|nocat=y}}]] (illegitimate son)",,,,{{death date and age|df=yes|1870|12|5|1802|7|24}},"[[Dieppe]], Normandy, [[French Third Republic|France]]",,,,,,,,,,,,,,Alexander Dumas père par Nadar - Google Art Project.jpg,,,,,,,,,,,,,[[Romanticism]] and historical fiction,Alexandre Dumas,,,,,,,''[[The Three Musketeers]]'' (1844)<br />''[[The Count of Monte Cristo]]'' (1844–1846),{{hlist|[[Novelist]]|[[playwright]]}},,,,,,,[[Thomas-Alexandre Dumas]]<br /> Marie Louise Élisabeth Labouret,,,1829–1869,,,,,,,{{Plainlist | * [[Marie-Cessette Dumas]] (paternal grandmother) * [[Alexandre Lippmann]] (great-grandson) }},,,,,Alexandre Dumas Signature.svg,,,{{Marriage|Ida Ferrier|1840|1859|end=died}},,,,,,,,,,,,,,,,,,,,,
,,,,,,{{Birth date|df=y|1828|02|08}},,"[[Nantes]], [[Brittany]], [[Bourbon Restoration in France|Kingdom of France]]",,Portrait {{circa|1884}},,,,,,{{Death date and age|df=y|1905|03|24|1828|02|08}},"[[Amiens]], [[Picardy]], [[French Third Republic|French Republic]]",,,,,,,,,{{cslist|Science fiction|children's books|novel|novella|drama|poetry|song|autobiography|non-fiction}},,,,,Jules Verne by Étienne Carjat.jpg,,,,,,,,French,,,,,[[Romanticism]]/[[Neo-romanticism]],Jules Verne,,,,,,,{{cslist|,Writer,,,,,,,,,,,,,,,,,,,"Cimetière de La Madeleine, [[Amiens]], France",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Photograph of the head and shoulders of a middle-aged man, with black hair and a slim mustache",,,{{birth date|1903|6|25|df=yes}},Eric Arthur Blair,"[[Motihari]], [[Bengal Presidency]], India","[[All Saints' Church, Sutton Courtenay]], Oxfordshire, England","[[Press card]] portrait, 1943",,[[Richard Blair (patron)|Richard Blair]] (adopted),,,,{{death date and age|1950|1|21|1903|6|25|df=yes}},"London, England",,[[Eton College]],yes,,,,,,{{cslist|[[Dystopia]]|''[[roman à clef]]''|satire|[[literary criticism]]|[[polemic]]|[[opinion journalism]]}},,,,,George Orwell press photo.jpg,,,,,,,,English,,,{{Infobox writer,,,George Orwell,,,,,{{unbulleted list|''[[Down and Out in Paris and London]]'' (1933)|''[[The Road to Wigan Pier]]'' (1937)|''[[Homage to Catalonia]]'' (1938)|''[[Animal Farm]]'' (1945)|''[[Nineteen Eighty-Four]]'' (1949)}} }},,,{{cslist|Novelist|essayist|journalist|[[literary critic]]}},,,,,,,,,[[Independent Labour Party|Independent Labour]] (from 1938),,,,,,George Orwell,,,,,,,Orwell-Signature.svg,"Eric Blair (""George Orwell"")",,{{ubl|{{marriage|[[Eileen O'Shaughnessy]]|1936|1945|end=died}}|{{marriage|[[Sonia Brownell]]|1949}}}},,,{{cslist|[[Anti-fascism]]|[[anti-Stalinism]]|[[anarchism]]|[[democratic socialism]]}},,,,,,,,,,,,,,"1928–1949<ref>{{cite web|url=https://www.theguardian.com/books/2013/jan/24/george-orwell-britain-in-2013|title=What would George Orwell have made of the world in 2013?|author=Jeffries, Stuart|website=The Guardian|date=24 January 2013|access-date=3 March 2024}}</ref>",,,,
,,,"Monochrome portrait of Aldous Huxley sitting on a table, facing slightly downwards.",,,{{Birth date|1894|07|26|df=y}},Aldous Leonard Huxley,"[[Godalming]], [[Surrey]], England",,Huxley in 1954,,[[Matthew Huxley|Matthew]],,,,{{Death date and age|1963|11|22|1894|07|26|df=y}},"[[Los Angeles County]], [[California]], U.S.",,"[[Balliol College, Oxford]]",,,,,,,,,,,,Aldous Huxley psychical researcher.png,,,,,,,,,,,,,,Aldous Huxley,,,,,{{hlist|class=nowraplinks |''[[Brave New World]]'' |''[[Island (Huxley novel)|Island]]'' |''[[Point Counter Point]]'' |''[[The Doors of Perception]]'' |''[[The Perennial Philosophy]]''|''[[The Devils of Loudun]]''}},,,{{hlist|Writer|philosopher}},,,,,,,,,,,,,,,,,{{unbulleted list|[[Thomas Henry Huxley]] (grandfather)|[[Leonard Huxley (writer)|Leonard Huxley]] (father)|[[Julia Huxley|Julia Arnold]] (mother)| [[Andrew Huxley]] (half-brother)| [[Julian Huxley]] (brother)| [[Peter Eckersley (engineer)|Peter Eckersley]] (cousin)}},,"[[Compton, Guildford|Compton]], Surrey",,,Aldous Huxley signature.svg }},,,{{Unbulleted list|class=nowrap|{{marriage|Maria Nys|1919|12 February 1955|end=d}}|{{marriage|[[Laura Huxley|Laura Archera]]|1956}}}},,,,,,,,,,,,,,,,,,,,,
,,,Ray Bradbury in 1975,,,{{birth date|1920|08|22}},Ray Douglas Bradbury<!-- Please do not change to Raymond - it is unreferenced and incorrect - confirmed at OTRS 2016100910006885-->,"[[Waukegan, Illinois]], U.S.",,Bradbury in 1975,,,,,,{{death date and age|2012|06|05|1920|08|22}},"[[Los Angeles]], [[California]], U.S.",,,,,,,,,{{cslist,,,,,Ray Bradbury (1975) -cropped-.jpg,,,,,,,,,,,,,,Ray Bradbury,,,,,,,,Writer,,,,,,,,,,1938–2012<ref name=isfdb/>,,,,,<!-- See TALK#Pseudonyms -- many per ISFDB http://www.isfdb.org/cgi-bin/ea.cgi?Ray_Bradbury which should be noted here or in prose? -->,,,,[[Westwood Memorial Park]],,,,,,,,,,,,,,,,,,,,,,,,,,,
