,Unnamed: 0,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
317,317,Mohandas Gandhi,{{birth date|df=y|1869|10|2}},"[[Porbandar]], [[Kathiawar Agency]], India",{{death date and age|df=y|1948|1|30|1869|10|2}},"New Delhi, India",{{hlist|Lawyer|anti-colonialist|political ethicist}},}},{{ubl|[[Samaldas Arts College]]{{efn|Did not graduate}}|[[University College London]]{{efn|Informal [[Academic audit|auditing student]] between 1888 and 1891}}}}[[City Law School|Inns of Court School of Law]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Kasturba Gandhi]]|1883|1944|end=died}},{{hlist|[[Harilal Gandhi|Harilal]]|[[Manilal Gandhi|Manilal]]|[[Ramdas Gandhi|Ramdas]]|[[Devdas Gandhi|Devdas]]}},3,1869.0,1948.0,79.0,2.0,1,2
318,318,Martin Luther King Jr.,{{birth date|1929|1|15}},"[[Atlanta|Atlanta, Georgia]], U.S.",{{death date and age|1968|4|4|1929|1|15}},"[[Memphis, Tennessee]], U.S.",{{hlist|Baptist minister|activist}} {{Infobox person|child=yes,"{{unbulleted list|[[Nobel Peace Prize]] (1964)|[[Presidential Medal of Freedom]] ([[Posthumous award|posthumous]], 1977)|[[Congressional Gold Medal]] (posthumous, 2004)}}",[[King's College London]],{{unbulleted list|[[Morehouse College]] ([[Bachelor of Arts|BA]])|[[Crozer Theological Seminary]] ([[Bachelor of Divinity|BDiv]])|[[Boston University]] ([[PhD]])}},"{{marriage|[[Coretta Scott King|Coretta Scott]]|June 18, 1953}}",{{hlist|[[Yolanda King|Yolanda]]|[[Martin Luther King III|Martin&nbsp;III]]|[[Dexter King|Dexter]]|[[Bernice King|Bernice]]}},3,1929.0,1968.0,39.0,2.0,4,1
319,319,Nelson Mandela,{{birth date|1918|7|18|df=y}},"[[Mvezo]], South Africa",{{death date and age|2013|12|05|1918|7|18|df=y}},"[[Johannesburg]], South Africa",{{hlist|Politician|lawyer|philanthropist|activist}},[[List of awards and honours received by Nelson Mandela|Full list]],{{ubl|[[University of Fort Hare]]|[[University of London]]|[[University of South Africa]]|[[University of the Witwatersrand]]}},"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist| * {{marriage|[[Evelyn Mase|Evelyn Ntoko Mase]]|5 October 1944|18 March 1958|end=div.}} * {{marriage|[[Winnie Madikizela-Mandela|Winifred Madikizela]]|14 June 1958|19 March 1996|end=div.}} * {{marriage|[[Graça Machel|Graça Simbine]]|18 July 1998}}}},"6, including [[Makgatho Mandela|Makgatho]], [[Makaziwe Mandela|Maki]], [[Zenani Mandela-Dlamini|Zenani]], and [[Zindzi Mandela|Zindziswa]]",4,1918.0,2013.0,95.0,2.0,3,2
320,320,Malcolm X,{{birth date|1925|5|19}},"[[Omaha, Nebraska]], U.S.",{{death date and age|1965|2|21|1925|5|19}},"[[Manhattan]], New York City, U.S.",{{hlist|Minister|activist}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Betty Shabazz]]|1958}},"6, including [[Attallah Shabazz|Attallah]], [[Qubilah Shabazz|Qubilah]], and [[Ilyasah Shabazz|Ilyasah]]",3,1925.0,1965.0,40.0,2.0,1,2
321,321,Che Guevara,{{Birth date|df=y|1928|05|14}}{{efn|name=birthdate|}},"[[Rosario]], Santa Fe, Argentina",{{Death date and age|df=y|1967|10|09|1928|05|14}},"[[La Higuera]], Santa Cruz, Bolivia",{{hlist|Author|diplomat|[[guerrilla]]|physician}},}},[[University of Buenos Aires]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist| * {{marriage|[[Hilda Gadea]]|1955|1959|reason=div}} * {{marriage|[[Aleida March]]|1959}} }},2,3,1928.0,1967.0,39.0,2.0,1,2
322,322,Barack Obama,{{Birth date and age|1961|8|4|mf=yes}},"[[Honolulu]], Hawaii, U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{marriage|[[Michelle Obama|Michelle Robinson]]|October 3, 1992}}",{{flatlist| * [[Malia Obama|Malia]] * [[Sasha Obama|Sasha]] }},0,1961.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
323,323,Franklin D. Roosevelt,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
324,324,Sir Winston Churchill,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
325,325,Theodore Roosevelt,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
326,326,John F. Kennedy,{{birth date |1917|5|29}},"[[Brookline, Massachusetts]], U.S.",{{death date and age|1963|11|22|1917|5|29}},"[[Dallas]], Texas, U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{marriage|[[Jacqueline Kennedy Onassis|Jacqueline Bouvier]]|September 12, 1953|<!-- Omission per Template:Marriage instructions -->}}","4, including [[Caroline Kennedy|Caroline]], [[John F. Kennedy Jr.|John&nbsp;Jr.]], and [[Patrick Bouvier Kennedy|Patrick]]",0,1917.0,1963.0,46.0,2.0,1,0
